"Date","MHICILBTX48001A052NCEN","MHICILBTX48003A052NCEN","MHICILBTX48005A052NCEN","MHICILBTX48007A052NCEN","MHICILBTX48009A052NCEN","MHICILBTX48011A052NCEN","MHICILBTX48013A052NCEN","MHICILBTX48015A052NCEN","MHICILBTX48017A052NCEN","MHICILBTX48019A052NCEN","MHICILBTX48021A052NCEN","MHICILBTX48023A052NCEN","MHICILBTX48025A052NCEN","MHICILBTX48027A052NCEN","MHICILBTX48029A052NCEN","MHICILBTX48031A052NCEN","MHICILBTX48033A052NCEN","MHICILBTX48035A052NCEN","MHICILBTX48037A052NCEN","MHICILBTX48039A052NCEN","MHICILBTX48041A052NCEN","MHICILBTX48043A052NCEN","MHICILBTX48045A052NCEN","MHICILBTX48047A052NCEN","MHICILBTX48049A052NCEN","MHICILBTX48051A052NCEN","MHICILBTX48053A052NCEN","MHICILBTX48055A052NCEN","MHICILBTX48057A052NCEN","MHICILBTX48059A052NCEN","MHICILBTX48061A052NCEN","MHICILBTX48063A052NCEN","MHICILBTX48065A052NCEN","MHICILBTX48067A052NCEN","MHICILBTX48069A052NCEN","MHICILBTX48071A052NCEN","MHICILBTX48073A052NCEN","MHICILBTX48075A052NCEN","MHICILBTX48077A052NCEN","MHICILBTX48079A052NCEN","MHICILBTX48081A052NCEN","MHICILBTX48083A052NCEN","MHICILBTX48085A052NCEN","MHICILBTX48087A052NCEN","MHICILBTX48089A052NCEN","MHICILBTX48091A052NCEN","MHICILBTX48093A052NCEN","MHICILBTX48095A052NCEN","MHICILBTX48097A052NCEN","MHICILBTX48099A052NCEN","MHICILBTX48101A052NCEN","MHICILBTX48103A052NCEN","MHICILBTX48105A052NCEN","MHICILBTX48107A052NCEN","MHICILBTX48109A052NCEN","MHICILBTX48111A052NCEN","MHICILBTX48113A052NCEN","MHICILBTX48115A052NCEN","MHICILBTX48117A052NCEN","MHICILBTX48119A052NCEN","MHICILBTX48121A052NCEN","MHICILBTX48123A052NCEN","MHICILBTX48125A052NCEN","MHICILBTX48127A052NCEN","MHICILBTX48129A052NCEN","MHICILBTX48131A052NCEN","MHICILBTX48133A052NCEN","MHICILBTX48135A052NCEN","MHICILBTX48137A052NCEN","MHICILBTX48141A052NCEN","MHICILBTX48139A052NCEN","MHICILBTX48143A052NCEN","MHICILBTX48145A052NCEN","MHICILBTX48147A052NCEN","MHICILBTX48149A052NCEN","MHICILBTX48151A052NCEN","MHICILBTX48153A052NCEN","MHICILBTX48155A052NCEN","MHICILBTX48157A052NCEN","MHICILBTX48159A052NCEN","MHICILBTX48161A052NCEN","MHICILBTX48163A052NCEN","MHICILBTX48165A052NCEN","MHICILBTX48167A052NCEN","MHICILBTX48169A052NCEN","MHICILBTX48171A052NCEN","MHICILBTX48173A052NCEN","MHICILBTX48175A052NCEN","MHICILBTX48177A052NCEN","MHICILBTX48179A052NCEN","MHICILBTX48181A052NCEN","MHICILBTX48183A052NCEN","MHICILBTX48185A052NCEN","MHICILBTX48187A052NCEN","MHICILBTX48189A052NCEN","MHICILBTX48191A052NCEN","MHICILBTX48193A052NCEN","MHICILBTX48195A052NCEN","MHICILBTX48197A052NCEN","MHICILBTX48199A052NCEN","MHICILBTX48201A052NCEN","MHICILBTX48203A052NCEN","MHICILBTX48205A052NCEN","MHICILBTX48207A052NCEN","MHICILBTX48209A052NCEN","MHICILBTX48211A052NCEN","MHICILBTX48213A052NCEN","MHICILBTX48215A052NCEN","MHICILBTX48217A052NCEN","MHICILBTX48219A052NCEN","MHICILBTX48221A052NCEN","MHICILBTX48223A052NCEN","MHICILBTX48225A052NCEN","MHICILBTX48227A052NCEN","MHICILBTX48229A052NCEN","MHICILBTX48231A052NCEN","MHICILBTX48233A052NCEN","MHICILBTX48235A052NCEN","MHICILBTX48237A052NCEN","MHICILBTX48239A052NCEN","MHICILBTX48241A052NCEN","MHICILBTX48243A052NCEN","MHICILBTX48245A052NCEN","MHICILBTX48247A052NCEN","MHICILBTX48249A052NCEN","MHICILBTX48251A052NCEN","MHICILBTX48253A052NCEN","MHICILBTX48255A052NCEN","MHICILBTX48257A052NCEN","MHICILBTX48259A052NCEN","MHICILBTX48261A052NCEN","MHICILBTX48263A052NCEN","MHICILBTX48265A052NCEN","MHICILBTX48267A052NCEN","MHICILBTX48269A052NCEN","MHICILBTX48271A052NCEN","MHICILBTX48273A052NCEN","MHICILBTX48275A052NCEN","MHICILBTX48283A052NCEN","MHICILBTX48277A052NCEN","MHICILBTX48279A052NCEN","MHICILBTX48281A052NCEN","MHICILBTX48285A052NCEN","MHICILBTX48287A052NCEN","MHICILBTX48289A052NCEN","MHICILBTX48291A052NCEN","MHICILBTX48293A052NCEN","MHICILBTX48295A052NCEN","MHICILBTX48297A052NCEN","MHICILBTX48299A052NCEN","MHICILBTX48301A052NCEN","MHICILBTX48303A052NCEN","MHICILBTX48305A052NCEN","MHICILBTX48313A052NCEN","MHICILBTX48315A052NCEN","MHICILBTX48317A052NCEN","MHICILBTX48319A052NCEN","MHICILBTX48321A052NCEN","MHICILBTX48323A052NCEN","MHICILBTX48307A052NCEN","MHICILBTX48309A052NCEN","MHICILBTX48311A052NCEN","MHICILBTX48325A052NCEN","MHICILBTX48327A052NCEN","MHICILBTX48329A052NCEN","MHICILBTX48331A052NCEN","MHICILBTX48333A052NCEN","MHICILBTX48335A052NCEN","MHICILBTX48337A052NCEN","MHICILBTX48339A052NCEN","MHICILBTX48341A052NCEN","MHICILBTX48343A052NCEN","MHICILBTX48345A052NCEN","MHICILBTX48347A052NCEN","MHICILBTX48349A052NCEN","MHICILBTX48351A052NCEN","MHICILBTX48353A052NCEN","MHICILBTX48355A052NCEN","MHICILBTX48357A052NCEN","MHICILBTX48359A052NCEN","MHICILBTX48361A052NCEN","MHICILBTX48363A052NCEN","MHICILBTX48365A052NCEN","MHICILBTX48367A052NCEN","MHICILBTX48369A052NCEN","MHICILBTX48371A052NCEN","MHICILBTX48373A052NCEN","MHICILBTX48375A052NCEN","MHICILBTX48377A052NCEN","MHICILBTX48379A052NCEN","MHICILBTX48381A052NCEN","MHICILBTX48383A052NCEN","MHICILBTX48385A052NCEN","MHICILBTX48387A052NCEN","MHICILBTX48389A052NCEN","MHICILBTX48391A052NCEN","MHICILBTX48393A052NCEN","MHICILBTX48395A052NCEN","MHICILBTX48397A052NCEN","MHICILBTX48399A052NCEN","MHICILBTX48401A052NCEN","MHICILBTX48403A052NCEN","MHICILBTX48405A052NCEN","MHICILBTX48407A052NCEN","MHICILBTX48409A052NCEN","MHICILBTX48411A052NCEN","MHICILBTX48413A052NCEN","MHICILBTX48415A052NCEN","MHICILBTX48417A052NCEN","MHICILBTX48419A052NCEN","MHICILBTX48421A052NCEN","MHICILBTX48423A052NCEN","MHICILBTX48425A052NCEN","MHICILBTX48427A052NCEN","MHICILBTX48429A052NCEN","MHICILBTX48431A052NCEN","MHICILBTX48433A052NCEN","MHICILBTX48435A052NCEN","MHICILBTX48437A052NCEN","MHICILBTX48439A052NCEN","MHICILBTX48441A052NCEN","MHICILBTX48443A052NCEN","MHICILBTX48445A052NCEN","MHICILBTX48447A052NCEN","MHICILBTX48449A052NCEN","MHICILBTX48451A052NCEN","MHICILBTX48453A052NCEN","MHICILBTX48455A052NCEN","MHICILBTX48457A052NCEN","MHICILBTX48459A052NCEN","MHICILBTX48461A052NCEN","MHICILBTX48463A052NCEN","MHICILBTX48465A052NCEN","MHICILBTX48467A052NCEN","MHICILBTX48469A052NCEN","MHICILBTX48471A052NCEN","MHICILBTX48473A052NCEN","MHICILBTX48475A052NCEN","MHICILBTX48477A052NCEN","MHICILBTX48479A052NCEN","MHICILBTX48481A052NCEN","MHICILBTX48483A052NCEN","MHICILBTX48485A052NCEN","MHICILBTX48487A052NCEN","MHICILBTX48489A052NCEN","MHICILBTX48491A052NCEN","MHICILBTX48493A052NCEN","MHICILBTX48495A052NCEN","MHICILBTX48497A052NCEN","MHICILBTX48499A052NCEN","MHICILBTX48501A052NCEN","MHICILBTX48503A052NCEN","MHICILBTX48505A052NCEN","MHICILBTX48507A052NCEN"
1989-01-01,20909,25818,21837,16748,23553,18479,18295,21524,18293,20051,20316,14402,18201,20067,21318,18176,21968,17799,22561,31385,21410,15566,14820,11890,18242,17955,18672,17929,21012,19284,14539,19187,24793,17885,21642,26291,17153,15407,21409,17725,18419,14682,45771,15351,18496,25154,15461,15729,21380,21365,13927,25889,22242,17658,13319,18889,28979,18346,22080,16012,35124,16465,11822,11898,15618,12927,14736,21889,14229,17745,26094,19652,13241,17692,17801,17051,19272,15228,41438,19734,19315,12889,21473,25914,17285,18863,25832,17729,15277,24373,23241,24330,17467,23313,19450,13570,14489,34056,17241,24086,28213,20728,40180,15975,22428,30973,18986,14364,17283,22287,29195,19931,15390,20182,14084,22086,26145,22033,18501,19528,19349,16873,23578,14215,16705,27294,16466,15347,22932,26192,15580,16713,20347,16228,21408,13043,19187,16309,9723,19228,17699,18982,17966,20329,16398,21790,15738,23191,18770,17084,26042,22308,17967,17456,14757,19695,14999,23973,10712,13140,20438,24764,18914,12127,27921,17677,15632,16425,16910,29323,26523,16965,15425,18847,17764,16365,17831,22110,24887,27877,23906,18591,21360,28127,23786,19126,16239,18337,9686,18427,31213,26423,11028,12732,16233,20163,26443,14606,38676,16468,20539,14878,13127,17391,19959,13879,20496,22601,19600,15178,25868,23340,27192,7935,17976,21940,16778,24082,18588,30451,21654,20878,20366,16075,20742,21945,25490,14810,16667,20410,23677,15073,15938,18946,24894,22591,21244,22999,21854,13927,22333,20215,22103,18323,12297,29843,21352,23204,24472,18276,26335,20599,12665,8494
1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-01-01,23485,28288,23710,21067,26791,25420,21518,26766,22307,25500,25365,18011,21003,24289,24810,22237,34083,21078,26029,36176,25194,18943,19350,12991,20972,21190,23287,21486,24851,22057,17248,19940,29732,20403,23029,33325,19844,19045,25035,20479,21426,16169,53277,18096,21568,30013,18068,17562,25341,26406,15792,32127,21999,18066,16576,22249,31950,21039,23770,19824,41758,19791,14958,12999,17539,13881,16551,24836,15957,22058,31038,22593,17411,21416,22515,20157,21865,18391,46472,23634,22672,14728,24607,31764,20624,24119,30035,21783,17770,26678,25924,26468,21229,28105,22686,14965,18733,29897,18884,27486,32958,23292,35114,19028,28388,33285,21271,15985,20175,26326,31280,22021,19097,23295,14686,25491,29132,26819,21806,23179,21377,22007,26404,16219,18333,30410,19387,17075,27698,32257,17092,20176,23221,18178,30448,15333,22520,18258,15191,22884,21214,23200,21474,24383,20553,24780,19538,26743,22514,19328,23513,25375,21049,19461,15349,24135,16953,25810,11876,17015,24382,27436,23449,14118,32377,20527,18470,18944,19775,35304,29300,19813,18854,21512,21464,17699,20688,26642,29350,30802,28302,21499,23492,31459,24697,21807,19481,20679,11581,21854,36108,31119,16060,16364,18660,21723,32333,17408,44605,19215,22868,17628,15002,20287,23926,15972,23663,25831,21280,18458,28926,26730,28757,9870,19651,27226,20276,24095,22059,36006,25383,20687,24153,20656,21609,25425,32375,17573,20419,22571,26448,17354,18582,21933,27722,25586,23855,24135,25642,18435,24775,21148,25744,22008,14468,38250,26024,24352,27538,21059,29796,22493,15341,10956
1994-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-01,25109,28997,25944,23354,28405,25167,22369,28604,21940,28803,28402,18330,22250,26398,27630,25534,31848,23391,27704,37823,25810,20151,17229,14079,22219,22986,25744,23509,26053,23209,19104,21724,31962,22613,23619,37836,21585,20476,25732,22450,21547,16503,57913,16654,23775,34583,19234,16647,26791,27314,14428,32076,22498,18533,14946,26058,35680,21177,24388,21501,45277,21584,15727,13639,19445,14761,17681,25143,15759,22861,34839,23071,19739,22733,24185,19649,20584,17272,52253,24182,24287,15835,23702,34603,22136,26412,24974,23599,18784,26782,27396,28577,23684,29576,23933,14790,19878,27469,19898,30785,34129,24793,34903,17428,32062,34089,23309,17187,22223,26298,34699,21955,19597,24270,13907,26221,30904,28592,22958,25886,24066,21943,27355,17030,20211,33100,20036,18120,30870,35773,16764,23345,25742,18432,26916,16589,23217,18386,15986,24191,22099,23824,22549,26804,23213,26938,20906,26521,23872,21691,24189,27307,20062,19960,17282,22629,16246,26871,13730,18242,27442,26775,25992,15835,34469,21135,18668,19365,21204,41828,30017,22108,15800,22327,23041,21014,21391,24895,29756,29639,30979,21687,24301,34569,22806,22794,23390,23597,13733,23289,37249,31003,18721,16859,17802,24052,31197,18966,51512,20592,23866,20489,17190,23622,25152,16812,24468,26540,22581,19714,26391,28995,31883,12187,21994,30374,21066,25197,22462,38715,25944,19540,24407,18494,24054,26739,35814,19386,23125,24480,26173,18754,19036,23909,31683,25628,24242,23294,27197,21323,25993,22985,26983,22463,15807,46528,28285,25441,30319,22884,28652,22914,17351,11997
1996-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-01-01,26825,31542,27199,24574,33292,27956,23753,30868,23911,30227,30944,20018,23698,28282,29965,26126,33513,25508,29496,40740,28827,21797,20540,14538,23856,24709,27974,24927,27724,25339,18819,24180,34987,24863,24795,40202,23685,21245,29286,22906,22563,18586,62796,19960,25868,36623,20576,19756,29897,30093,18043,35086,24935,20160,17255,26922,38722,22609,25549,23234,49365,22661,18147,13673,20895,16654,19491,27955,13759,23186,36801,24932,21155,25492,26380,23093,23491,20045,52172,26739,25694,16977,26358,36249,23041,28414,32272,24871,20648,29600,30071,30525,24747,31871,25463,16888,22177,33118,22415,32197,37089,26727,39580,20690,34280,39367,25306,17239,24368,28141,35901,25037,22052,26258,16203,28512,33612,28280,25248,27250,25731,22410,29435,18549,21377,34727,22178,19994,32417,36099,19350,24712,27871,20333,29133,18654,24813,20605,16809,26483,22995,24858,24845,27355,24528,28612,22129,31766,26190,23671,28696,29007,22820,22464,18375,26112,18708,28299,13435,20418,28966,31146,26528,16104,35607,23414,20884,21711,23004,43333,32435,24349,19150,24652,25128,22176,23272,26343,33587,32093,32657,23998,27012,37466,26427,24162,24158,24763,14339,25028,41156,33037,19145,18911,19800,25400,31053,20481,54272,21572,26315,21836,18328,25188,25689,18389,26639,29217,25009,21370,31814,31263,35242,10420,22985,29591,23284,28270,25244,40480,28519,21212,25870,22651,25783,28181,37551,20942,24062,26501,28645,19660,20607,25799,33586,27898,26777,26336,29891,20397,27438,25705,29214,23931,15107,47073,30118,28475,33089,24270,32295,25423,17670,12126
1998-01-01,27739,31821,28278,26867,35626,28668,25020,32297,24447,33070,33006,21095,24896,29923,31789,26558,30480,27354,29653,43017,30673,24344,21880,15640,25257,25383,31406,26927,30262,26582,20083,26080,36705,25465,26368,41063,25128,22352,30826,23539,23880,19139,68363,20278,27012,38764,21747,19559,31454,31981,18920,34472,26279,19968,18083,27564,40456,23038,26515,24978,53504,24433,19090,14868,20534,17689,21183,29071,13160,23642,38579,26864,22064,27164,27650,23370,24781,20839,54191,27789,27214,18605,26325,38809,22480,29823,31656,27966,22554,31233,31604,31485,26369,33212,26917,17552,23479,34706,23899,34497,38686,27688,43809,20055,36246,40126,26793,18076,25621,28018,37136,27344,23357,26830,16920,30192,35803,29697,26412,28767,26989,23016,30869,20109,22359,36681,22349,21058,34397,39379,19925,25180,29075,21040,29879,20686,25440,21869,17870,27501,24515,26561,25932,29331,25617,30374,22764,31250,27554,25514,35768,29952,22590,24677,19420,25601,19251,29696,14701,20876,30363,31988,28116,16286,36505,24931,21385,22440,24575,44926,32991,25286,18676,26351,26538,24072,23889,27538,35225,33870,33941,24973,28953,39543,27808,24060,26429,26117,15029,26099,43735,31593,19733,19579,20602,27251,35420,21446,56823,22426,27568,23453,19959,26626,26989,20180,25385,29463,25626,23170,34310,32592,35600,12692,24783,30681,23746,29597,26751,42215,29383,20582,25223,24702,26866,29531,40713,22374,25040,27230,29588,20650,21874,27719,33817,29537,28087,27400,31754,21282,28372,25947,30716,25817,15955,50853,32488,28754,35685,25413,31005,26365,18656,12805
