"Date","TXANDE1LFN","TXANGE5LFN","TXARCH9LFN","TXATAS3LFN","TXBAIL7LFN","TXBAST1LFN","TXBEEC5LFN","TXBEXA9LFN","TXBORD3LFN","TXBOWI7LFN","TXBRAZ3LFN","TXBRIS5LFN","TXBROW9LFN","TXBURN3LFN","TXCALH7LFN","TXCAME2LFN","TXCARS5LFN","TXCAST9LFN","TXCHER3LFN","TXCLAY7LFN","TXCOKE1LFN","TXCOLL5LFN","TXCOLO9LFN","TXCOMA3LFN","TXCOOK7LFN","TXCOTT1LFN","TXCROC5LFN","TXCULB9LFN","TXDALL3LFN","TXDEAF7LFN","TXDENT2LFN","TXDICK5LFN","TXDONL9LFN","TXEAST3LFN","TXEDWA7LFN","TXELLI0LFN","TXFALL5LFN","TXFAYE9LFN","TXFLOY3LFN","TXFORT5LFN","TXFREE1LFN","TXGAIN5LFN","TXGARZ9LFN","TXGLAS3LFN","TXGONZ7LFN","TXGRAY0LFN","TXGRIM5LFN","TXHALE9LFN","TXHAMI3LFN","TXHARD7LFN","TXHARR1LFN","TXHART5LFN","TXHAYS9LFN","TXHEND3LFN","TXHILL7LFN","TXHOOD1LFN","TXHOUS5LFN","TXHUDS9LFN","TXHUTC3LFN","TXJACK7LFN","TXJASP1LFN","TXJEFF5LFN","TXJIMW9LFN","TXJONE3LFN","TXKAUF7LFN","TXKENE1LFN","TXKERR5LFN","TXKING9LFN","TXKLEB3LFN","TXLAMB9LFN","TXLASA3LFN","TXLAVA5LFN","TXLEON9LFN","TXLIME3LFN","TXLIVE7LFN","TXLOVI1LFN","TXLYNN5LFN","TXMARI5LFN","TXMASO9LFN","TXMAVE3LFN","TXMCLE9LFN","TXMEDI5LFN","TXMIDL9LFN","TXMILL3LFN","TXMONT7LFN","TXMOOR1LFN","TXMOTL5LFN","TXNAVA9LFN","TXNOLA3LFN","TXORAN5LFN","TXOCHI7LFN","TXPANO5LFN","TXPARM9LFN","TXPOLK3LFN","TXPRES7LFN","TXRAND1LFN","TXREAL5LFN","TXREEV9LFN","TXROBE3LFN","TXROCK7LFN","TXSANA5LFN","TXRUSK1LFN","TXSANP5LFN","TXSCHL3LFN","TXSHAC7LFN","TXSHER1LFN","TXSOME5LFN","TXSTEP9LFN","TXSTON3LFN","TXSWIS7LFN","TXTAYL1LFN","TXTERR5LFN","TXTITU9LFN","TXTRAV3LFN","TXTYLE7LFN","TXUPTO1LFN","TXVALV5LFN","TXVICT0LFN","TXWALL3LFN","TXWASH7LFN","TXWHAR1LFN","TXWICH5LFN","TXWILL9LFN","TXWILS3LFN","TXWISE7LFN","TXYOAK1LFN","TXZAPA5LFN","TXANDE1URN","TXANGE5URN","TXARCH9URN","TXATAS3URN","TXBAIL7URN","TXBAST1URN","TXBEEC5URN","TXBEXA9URN","TXBORD3URN","TXBOWI7URN","TXBRAZ3URN","TXCALH7URN","TXBRIS5URN","TXBROW9URN","TXBURN3URN","TXCAME2URN","TXCARS5URN","TXCAST9URN","TXCHER3URN","TXCLAY7URN","TXCOKE1URN","TXCOLL5URN","TXCOLO9URN","TXCOMA3URN","TXCOOK7URN","TXCOTT1URN","TXCROC5URN","TXCULB9URN","TXDALL3URN","TXDEAF7URN","TXDENT2URN","TXDICK5URN","TXDONL9URN","TXEAST3URN","TXEDWA7URN","TXELLI0URN","TXFALL5URN","TXFAYE9URN","TXFLOY3URN","TXFORT5URN","TXFREE1URN","TXGARZ9URN","TXGAIN5URN","TXGLAS3URN","TXGONZ7URN","TXGRAY0URN","TXGRIM5URN","TXHALE9URN","TXHAMI3URN","TXHARD7URN","TXHARR1URN","TXHART5URN","TXHAYS9URN","TXHEND3URN","TXHILL7URN","TXHOOD1URN","TXHOUS5URN","TXHUDS9URN","TXHUTC3URN","TXJACK7URN","TXJASP1URN","TXJEFF5URN","TXJIMW9URN","TXJONE3URN","TXKAUF7URN","TXKENE1URN","TXKERR5URN","TXKING9URN","TXKLEB3URN","TXLASA3URN","TXLAMB9URN","TXLAVA5URN","TXLEON9URN","TXLIME3URN","TXLIVE7URN","TXLOVI1URN","TXLYNN5URN","TXMARI5URN","TXMASO9URN","TXMAVE3URN","TXMCLE9URN","TXMEDI5URN","TXMIDL9URN","TXMILL3URN","TXMONT7URN","TXMOOR1URN","TXMOTL5URN","TXNAVA9URN","TXNOLA3URN","TXOCHI7URN","TXORAN5URN","TXPANO5URN","TXPARM9URN","TXPOLK3URN","TXPRES7URN","TXRAND1URN","TXREAL5URN","TXREEV9URN","TXROBE3URN","TXROCK7URN","TXRUSK1URN","TXSANA5URN","TXSANP5URN","TXSCHL3URN","TXSHAC7URN","TXSHER1URN","TXSOME5URN","TXSTEP9URN","TXSTON3URN","TXSWIS7URN","TXTAYL1URN","TXTERR5URN","TXTITU9URN","TXTRAV3URN","TXTYLE7URN","TXUPTO1URN","TXVALV5URN","TXWALL3URN","TXVICT0URN","TXWASH7URN","TXWHAR1URN","TXWICH5URN","TXWILL9URN","TXWILS3URN","TXWISE7URN","TXYOAK1URN","TXZAPA5URN"
1990-01-01,17854,32084,3826,12447,3671,18257,9453,555275,432,38318,58708,921,15023,9329,8358,102400,3038,3840,18720,4716,1459,157985,7851,5966,14526,1006,1798,1537,1051513,8456,166909,1110,1696,7953,940,43208,6923,9455,3898,118586,7091,6356,2311,628,7589,46419,7326,15915,3489,2323,1501591,1694,33488,25430,11741,14365,8578,1267,10898,3087,12520,110870,14793,7319,24862,251,15051,194,12790,6442,2261,8418,5179,9011,3963,65,3303,3842,1574,17208,91384,11980,54140,1979,7403,8388,806,17941,7786,37925,4392,9186,4362,11615,3163,49654,967,6267,539,14385,2994,19236,24546,1256,1556,1401,3131,3978,900,3750,56339,6048,11530,328574,6648,1884,15007,35479,10440,12592,18394,56862,7075,10354,15603,3996,3084,7.2,6.5,2.6,7.4,2.8,5.2,7.4,7,4.6,6.6,5.8,7.3,1.2,6.9,4.2,13.4,2.9,4.3,5.9,2.7,2.5,3.6,3.1,5.5,4.7,2,4.6,6.6,5,4.6,4.1,3.4,6.3,7.7,8.1,5.6,4.6,2.7,3.8,3.6,7,4.6,4.6,1.8,4,5.8,6.3,4.9,6.6,4.8,5.1,1.8,5.5,9.1,7.2,16,4.8,2,5.5,3.6,8.9,7.4,7.8,4.7,5.4,10,2.6,3.1,6.9,9.7,4.2,1.7,6,5.2,5.2,4.6,3.1,7.9,3.7,34.9,6.8,5.5,5.8,2.9,3.7,2.8,3.1,8,7.3,2.5,9.9,7.3,2.9,6.2,16.3,3.5,9,10.6,1.5,3.8,8.1,4.9,7.5,5.6,3,1.2,18.9,4.4,4.6,2.6,6,6.3,7.4,4.9,6,3.2,14,5.2,4.9,3.4,4.2,6,18.9,4.7,4.3,3.1,14.6
1990-02-01,17768,32244,3825,12469,3425,18307,9706,555895,436,37939,61986,875,15052,9357,8334,102778,3002,3776,18870,4657,1453,158785,7856,5972,14773,1016,1761,1553,1055896,8306,167666,1100,1648,7930,976,43399,6899,9308,3787,118787,7036,6050,2217,584,7515,46427,7248,15686,3469,2240,1504589,1653,33555,25768,11689,14282,8410,1241,10830,3071,12355,110567,14880,7209,24995,239,14985,203,12682,6091,2248,8337,5134,9007,3926,65,2881,3771,1543,17805,91459,11844,53742,1943,7375,8464,713,18138,7613,37504,4320,9405,4328,11583,3159,49368,978,6382,549,14374,3000,19211,24648,1275,1533,1392,2953,3864,880,3665,55866,5786,11523,330128,6662,1847,15166,35415,10383,12771,18476,56717,7216,10339,15937,3971,3151,7.2,6.9,2.9,7.4,2.8,5,7.4,7,5,6.4,5.4,7.5,1.6,7,4.2,13.3,3.1,4.5,5.5,2.7,1.9,3.7,3,6.3,5.6,4,3.7,5.9,5.1,6.6,4.2,4.7,5.7,7.5,7.1,5.6,5,3,4.6,3.5,6.8,4.2,4.6,1.9,3.4,5.9,6.2,5.2,5.9,4.8,5,1.5,5.2,10,6.8,14.9,4.8,2.3,5,3.2,8.4,7.3,8,4.8,5.5,6.7,2.5,2.5,7,9.7,4.6,1.2,6.3,5.3,4.5,4.6,4.1,7.7,3.4,37.5,6.2,5.7,5.7,3.4,4.5,2.6,2.2,8,7.4,3.3,9,6.9,2.9,6.4,16.9,4,10.4,10.2,3.6,3.4,7.5,5.2,7.5,4.7,2.7,1.6,21.4,4.3,4.4,2.9,6,7.2,7.4,4.8,5.8,3,15.5,4.3,5.2,3.3,3.9,6.1,18.8,4.4,5.2,3,15.4
1990-03-01,17844,32451,3856,12573,3477,18351,9781,558338,426,37941,62407,880,15237,9409,8317,103256,3007,3893,19091,4677,1422,159714,7938,6082,14932,1004,1813,1559,1060917,8747,168455,1089,1650,7971,972,43281,7015,9386,3927,119962,7091,6040,2235,590,7579,46745,7376,16528,3492,2131,1517238,1668,33770,25738,11767,14150,8462,1277,10900,3022,12377,110877,15025,7264,25109,246,15336,198,12989,6135,2255,8478,5177,9048,4012,67,2777,3883,1542,17278,91638,11785,54038,1946,7477,8623,661,18229,7679,37596,4340,9735,4325,11678,3128,49625,966,6546,557,14503,3031,19198,25103,1283,1524,1383,2773,3825,893,3635,55762,5718,11623,332275,6666,1882,15264,35645,10475,12834,18631,56923,7620,10369,15884,3905,3155,6.5,6.7,2.9,6.9,2.5,4.4,6.8,6.7,1.9,6,5,6.9,1.7,6.6,3.7,12.7,3,3.8,5.7,2.8,1.2,3.5,2.5,5.9,4.9,4.3,4.6,6.5,4.8,5.4,3.9,4.6,5,7.2,6.3,4.7,4.8,2.6,4.3,3.3,5.9,4.1,4.3,1.4,3.4,5.7,5.2,4.8,5.3,3.8,4.7,1.2,5,9.2,6.2,13.6,4.8,3.4,4.3,3.6,8.4,6.8,7.5,4.5,5.2,6.9,2.3,1.5,6.4,9.4,4.7,1.1,6.2,5,4,4.5,4,7.9,2.8,35.5,5.8,5.4,5.4,2.9,4.2,2.5,2.3,7.3,7.8,2.5,8.5,6.3,2.7,6,16,3.6,9.3,10.9,3.2,3.5,6.6,4.9,6.7,4.8,2.8,1.8,20.6,3.9,3.1,2.9,5.6,7.3,6.6,4.6,5.5,2.6,14.8,4.1,4.8,2.9,3.5,5.7,17.8,4,4.3,3.1,14
1990-04-01,17818,32197,3826,12776,3461,18415,9768,560848,440,38263,62310,841,15305,9541,8807,103107,2990,3831,18797,4643,1398,159533,8054,6015,14929,998,1874,1605,1062103,8476,168570,1100,1682,7780,953,43117,7037,9533,3670,120650,7049,6012,2190,613,7647,47072,7396,15919,3392,2245,1529252,1713,33889,26047,11851,14132,8511,1269,10902,3056,12305,111915,15030,7265,25207,236,15446,209,12788,6275,2217,8528,5259,8976,4103,61,2739,3940,1549,16878,92403,11712,54171,1891,7445,8527,653,18504,7645,37898,4458,9231,4267,11612,3298,50321,953,6305,562,14515,2937,19194,24738,1248,1526,1400,2616,3711,867,3675,56058,5674,11629,334123,6395,1893,15349,35788,10571,12954,19007,56296,7732,10387,15766,3802,3038,6.4,6.6,3.4,6.7,2.4,4.3,6.8,6.8,3,6.6,5,6.6,1,7.1,3.6,12.1,2.8,4,6.3,2.6,1.4,3.6,2.4,5.4,5.5,4.9,4.3,6.2,5,5.6,4.1,5.2,5.5,6.7,4.8,4.4,4.3,2.5,4.4,3.2,5.3,3.9,4,1.8,3.1,5.6,5.4,4.9,5.2,5.5,4.8,1,5,10.4,6.2,13,5.1,3.2,4.8,3.6,8.8,6.9,7.4,4.6,5.7,4.7,2.4,1.4,6.7,9.8,5,1.3,6.2,4.6,3.2,0,3.2,6.9,2.8,35.7,6,5.6,5.3,2.9,4.2,2.4,2,7.4,7.9,2.9,8.4,6.6,2.8,5.8,15.3,3.6,9.8,9.1,3.4,3.7,6.4,4.3,6.4,4.7,3,1.5,20.9,3.9,3.2,3.3,5.6,6.9,7,4.8,5.5,2.6,14.6,4.3,4.7,3,3.7,5.9,17.6,3.9,4.2,3,13.2
1990-05-01,17999,32306,3879,12816,3427,18459,9673,564549,439,38310,60944,869,15737,9555,8101,103576,3007,3870,18575,4668,1401,160243,8009,5938,14737,978,1919,1637,1069117,8914,169330,1105,1748,7974,949,43495,7005,9465,3629,121762,7002,6098,2227,631,7712,46747,7316,16111,3403,2289,1545221,1737,33773,26088,11826,13976,8431,1251,10913,3086,12623,112535,15119,7251,25322,234,15545,210,12872,6241,2209,8643,5218,9018,4202,65,2695,3926,1525,16105,92321,11771,54669,1891,7528,8483,652,18510,7755,38133,4492,8951,4254,11577,3456,50566,1118,6440,581,14571,2926,19552,24858,1254,1539,1466,2601,3729,902,3702,56203,5676,11673,334579,6345,1875,15191,36070,10709,12877,19087,57169,7702,10423,15914,3843,3038,8.2,6.4,4.4,6.6,2.8,4.6,6.6,7.2,2.1,6.5,5.3,6.7,0.9,8.2,3.5,11.9,2.9,4.2,6.3,3.7,1.2,3.6,2.5,5.3,5.2,2.8,4.3,8.3,5.3,5.2,4.2,4.7,4.9,7.1,5.3,4.8,3.9,2.2,4.8,3.2,4.9,4.2,3.9,2.7,3.1,5.7,5.4,5.4,5.4,4.8,4.9,1.6,4.7,10.2,5.9,12.3,4.9,2.4,5,3.4,10,7.4,7.1,4.4,5.8,3.4,2.2,1.4,6.9,6.4,5.4,1,6.5,4.2,3.7,4.6,2.7,7.4,2.3,30.7,6.3,5.4,5.6,2.6,4.8,2.9,3.1,7.5,7.8,2.9,9,6.5,2.9,5.7,14.5,3.5,7.3,8.7,5.9,3.7,6.1,4.3,5.7,5.2,2.8,1.5,21.4,4.5,4.2,3.8,6,6.9,7,4.9,5.6,2.3,12.8,4.7,4.4,3,3.9,7,16.1,3.9,4.9,3.1,12.2
1990-06-01,18010,32600,3914,12876,3704,18577,9864,573308,445,38809,58862,884,15634,9963,8136,104981,3085,4204,18758,4714,1413,162702,8055,6008,15035,1014,1880,1690,1084258,9966,171500,1116,1696,8155,960,44338,7120,9559,3823,124186,7211,6715,2289,661,7924,46353,7370,16486,3442,2335,1575161,1797,34327,26250,11808,14122,8520,1350,11222,3092,12661,114174,15374,7480,25638,232,16132,213,13060,6397,2295,8672,5196,9106,4165,65,2658,3929,1531,15376,93094,11742,55254,1887,7661,8753,646,18513,7831,38829,4543,8944,4415,11851,3493,51057,1135,6625,596,14795,2997,19758,25321,1253,1560,1513,2623,3746,923,3708,55635,5891,11981,336114,6488,1919,15239,36899,11074,12842,19556,57612,7286,10520,16047,3875,3253,7,6.8,4.8,7.1,3.6,5.3,7.1,7.7,2.7,6.8,6.5,7.1,1,7.5,3.6,12.8,3.8,4.7,7.1,3.8,1.4,4,2.4,5.1,5.3,3,4,8.9,5.6,5.7,4.4,4.8,6,7.5,5.6,5.7,4.7,2.1,4.7,3.7,5.9,4.6,4.2,2.3,3.2,5.9,5.8,5.8,5.4,4.4,5.4,1.6,6.3,9.8,6.4,12.1,5.1,3,5.3,3.8,10,7.7,7.2,4.5,5.9,2.2,2.4,2.8,7.6,6.2,5.1,1.1,6.1,4.5,3.7,4.6,2.8,6.5,2.8,26.3,7.6,5.4,5.8,2.5,4.6,3.6,1.9,8.1,8.5,2.8,9.7,6.9,5,5.9,14.1,4.2,6.3,8.5,6.2,4.1,6.9,5.6,6.2,5.5,2.9,2.6,20.5,4.6,4.7,4,6.8,7.3,7.6,5.4,7.2,2.7,12.2,6.4,4.7,3.5,4.5,7.2,15.3,3.9,4.9,3.3,11.4
1990-07-01,17960,32360,3946,12604,3932,18553,9868,569131,436,38718,61124,988,15565,9628,8594,106352,3221,4507,19151,4805,1411,163830,8135,5947,14899,1028,1903,1687,1090173,9913,172227,1110,1776,8095,962,44514,7300,9496,4438,124991,7237,7089,2117,637,7861,46877,7378,18758,3492,2275,1586603,1791,34067,26183,11906,13943,8623,1291,11030,3130,12799,114435,15410,7414,25715,224,16403,219,12664,6691,2311,8705,5161,9158,4179,61,2979,3842,1518,14177,94094,11519,55116,1989,7634,8726,644,18653,7778,39069,4545,8788,4547,11654,3315,51310,1182,7524,605,14840,3065,19706,25160,1316,1575,1446,2525,3834,930,3820,55319,6168,11909,333889,6540,1863,15160,37466,11163,12952,19757,57951,7090,10476,16097,3788,2945,7.4,6.7,5.1,7.3,3.5,5.6,7,7.7,2.3,6.9,6,7,0.6,7.3,3.3,13.5,3.4,4.5,6.9,4.4,1.1,4.1,2.5,5.1,5,2.9,4.4,8.6,5.6,5.5,4.2,4.5,5.9,7.6,5.2,5.5,4.7,2.5,4.1,3.6,5.5,4.5,3.8,1.9,3.2,5.9,5.6,5,6,10.4,5.4,1.4,6.1,9,6.5,10.4,5.6,3.2,5.2,3.8,10.1,7.6,7.3,4.9,5.7,1.8,2.6,1.4,7.7,5,4.3,1.3,6.3,4.3,3.8,4.9,2.5,6.8,2.9,25.6,8,5.3,5.5,3.1,4.7,3,1.4,8.4,8.4,2.7,9.9,6.6,4.9,6.3,15,4,4.5,8.1,6.8,3.9,7.2,5.1,5.8,4.5,1.6,1.9,17.3,4.9,4.7,3.6,6.4,6.8,7.4,5.3,7,2.7,12.5,6.5,4.7,3.6,4.6,7.3,15,4.2,4.5,3.4,13.6
1990-08-01,17788,32016,3855,12537,3863,18315,9804,565087,437,38224,60698,958,15410,9743,8498,105856,3172,4502,19091,4716,1392,162824,8102,5904,14708,990,1879,1664,1083566,9392,171421,1109,1684,8051,901,44275,7261,9443,4147,124222,7070,6782,2126,665,7690,46193,7301,18719,3425,2288,1574895,1778,33635,25953,11755,13581,8624,1259,11020,3127,12664,113024,15285,7358,25519,226,16290,223,12734,6659,2269,8480,5081,8917,4120,61,2870,3777,1535,13481,92652,11386,54519,2026,7590,8891,638,18623,7760,38550,4561,8735,4551,11661,3174,50798,1203,7560,592,14742,3039,19848,24974,1342,1530,1431,2483,3829,898,3752,55241,5955,11777,332076,6342,1848,14708,36935,11021,12780,19718,57069,7025,10390,15862,3856,2849,6.8,6.4,4.3,7.4,2.6,4.9,6.7,7.8,3.4,6.5,5.4,6,1.9,7.1,3.2,12.7,3,4,6.4,4.3,1.5,4,2.8,4.3,4.5,2.7,4.3,8,5.4,5.3,4.2,5.2,4.8,7.7,4.9,5.4,5.1,2.3,3.5,3.7,5.1,4.5,3.4,1.7,2.8,5.5,4.9,4.8,4.6,9,5.3,1.5,5.3,8.6,6.2,8.4,5.6,2.3,5.1,4,9.9,7.4,6.9,5.1,5.4,1.8,2.7,1.3,7.8,4.1,4.5,1.4,5.8,4.1,3.4,4.9,2.6,7.4,2.2,22.9,7.6,5,5.5,2.9,4.5,3.2,1.4,8.3,8.1,2.7,9.6,6.6,4.4,6,13,3.8,4.7,8,5.9,3.7,8,5.5,6,5,3.1,1.3,13.9,4.5,4.9,3.1,7.3,6.2,6.7,5.2,7.1,2.7,10.5,6,4.4,3.5,4.2,7.2,14.1,4.2,3.9,3.1,12.2
1990-09-01,17856,31870,3865,12695,3582,18670,9764,567209,431,37652,61404,899,15248,9082,8288,103565,3107,4284,19096,4829,1374,162145,8068,5966,14766,956,1864,1648,1080174,8945,170458,1090,1625,8058,934,44029,7231,9283,3770,123807,6942,6490,2142,637,7686,46273,7364,17419,3407,2162,1570535,1772,34211,25942,11898,13348,8491,1234,10931,3075,12562,113334,15436,7350,25365,222,15425,214,12451,6359,2222,8326,5065,8887,4138,62,2800,3699,1491,13487,93859,11569,54318,2045,7588,8647,647,19028,7780,38656,4453,8587,4470,11628,3054,50945,950,6436,596,14678,3072,20121,24903,1364,1480,1449,2516,3750,866,3656,56198,5796,11676,338117,6647,1828,14893,36361,10937,12821,19505,56920,6817,10398,15914,3842,2782,7.1,6.4,4.9,6.8,2.6,4.9,6.6,7.8,2.1,6.4,5.5,5.3,3,6.8,3.5,12.5,3.2,4,6.1,4.7,1.4,4.1,3,4.4,4.4,4.5,3.9,7.2,5.6,5.5,4.2,5.1,4.7,7.5,5.2,5.4,4.9,2.4,3.2,3.8,5.6,4.8,4.1,2,2.6,5.5,4.8,4.7,4.2,8.6,5.5,2.1,5.1,9.1,6.4,7.7,5.5,2.8,4.7,4.1,10,7.2,7.6,5.3,5.3,1.8,2.9,1.4,7.3,4.3,4.4,1.4,6.1,3.9,3.2,4.8,2.4,7.2,2.5,21.8,7.2,5.2,5.6,3.3,4.2,3,1.4,8.1,8.1,3.2,9.4,6.5,4.9,6.3,14.8,3.8,6.5,7.7,6,3.8,7.7,5.2,6.4,6.1,2.9,1.7,12.3,4.1,3.9,3.5,7.1,6.1,6.4,5.1,6.2,2.7,10.4,5.6,4.5,3.5,4.4,7.3,14.9,3.9,4.1,3.3,11.4
1990-10-01,17785,31833,3860,12881,3693,18854,9733,567016,445,37412,63425,908,15403,9076,8643,103070,3019,4051,18689,4709,1341,162465,7989,5910,14756,995,1901,1616,1080419,8987,170483,1071,1690,8127,957,44256,7238,9379,4000,124081,7042,6573,2240,699,7686,46202,7422,16823,3349,2172,1571551,1730,34402,25730,11840,13109,8502,1219,10720,3056,12377,113164,15481,7373,25400,223,15417,218,12503,6421,2308,8436,5025,8856,4366,63,3216,3658,1590,13767,93830,11725,55059,2046,7431,8478,682,19741,7760,38330,4713,8588,4433,11705,2678,50926,974,6531,583,14791,3062,20338,24943,1280,1497,1462,2439,3769,898,3744,56263,5921,11596,340937,6526,1857,14841,36437,10894,12953,19138,57044,6676,10459,15854,3958,2813,6.7,5.7,4,6.4,2.6,4.8,6.7,7.2,3.1,6.1,4.8,5.2,1.8,6.5,3.4,11.3,3.1,3.5,5.9,4.2,1.9,3.9,2.6,4.3,4.3,3.7,3.8,6.6,5.2,4.8,3.8,4.5,4.6,6.3,5.7,5.5,4.9,2,3.3,3.5,5,4.5,3.7,1.1,2.5,5.2,4.2,4.6,3.9,7.4,5,1.6,4.6,7.9,5.8,5.8,5.4,2.8,4.2,4,8.5,6.3,6.7,4.4,5.1,1.3,3.1,1.4,6.4,3.9,3.6,1.5,5.7,3.4,3,4.8,2.2,7,1.9,23.2,6.9,4.8,4.9,3.2,4,2.9,2.1,6.6,7.6,3,7.9,5.5,4.4,6,13.2,3.5,4.9,7.9,4.6,4.1,6.5,4.8,7,4.8,2.6,2.3,10.5,3.6,3.5,3.2,6.2,5.5,6.1,4.9,6.1,2.3,10.4,4.8,4.1,3.2,3.9,6.8,13.7,3.9,4,3,10.3
