"Date","MHITX48001A052NCEN","MHITX48003A052NCEN","MHITX48005A052NCEN","MHITX48007A052NCEN","MHITX48009A052NCEN","MHITX48011A052NCEN","MHITX48013A052NCEN","MHITX48015A052NCEN","MHITX48017A052NCEN","MHITX48019A052NCEN","MHITX48021A052NCEN","MHITX48023A052NCEN","MHITX48025A052NCEN","MHITX48027A052NCEN","MHITX48029A052NCEN","MHITX48031A052NCEN","MHITX48033A052NCEN","MHITX48035A052NCEN","MHITX48037A052NCEN","MHITX48039A052NCEN","MHITX48041A052NCEN","MHITX48043A052NCEN","MHITX48045A052NCEN","MHITX48047A052NCEN","MHITX48049A052NCEN","MHITX48051A052NCEN","MHITX48053A052NCEN","MHITX48055A052NCEN","MHITX48057A052NCEN","MHITX48059A052NCEN","MHITX48061A052NCEN","MHITX48063A052NCEN","MHITX48065A052NCEN","MHITX48067A052NCEN","MHITX48069A052NCEN","MHITX48071A052NCEN","MHITX48073A052NCEN","MHITX48075A052NCEN","MHITX48077A052NCEN","MHITX48079A052NCEN","MHITX48081A052NCEN","MHITX48083A052NCEN","MHITX48085A052NCEN","MHITX48087A052NCEN","MHITX48089A052NCEN","MHITX48091A052NCEN","MHITX48093A052NCEN","MHITX48095A052NCEN","MHITX48097A052NCEN","MHITX48099A052NCEN","MHITX48101A052NCEN","MHITX48103A052NCEN","MHITX48105A052NCEN","MHITX48107A052NCEN","MHITX48109A052NCEN","MHITX48111A052NCEN","MHITX48113A052NCEN","MHITX48115A052NCEN","MHITX48117A052NCEN","MHITX48119A052NCEN","MHITX48121A052NCEN","MHITX48123A052NCEN","MHITX48125A052NCEN","MHITX48127A052NCEN","MHITX48129A052NCEN","MHITX48131A052NCEN","MHITX48133A052NCEN","MHITX48135A052NCEN","MHITX48137A052NCEN","MHITX48139A052NCEN","MHITX48141A052NCEN","MHITX48143A052NCEN","MHITX48145A052NCEN","MHITX48147A052NCEN","MHITX48149A052NCEN","MHITX48151A052NCEN","MHITX48153A052NCEN","MHITX48155A052NCEN","MHITX48157A052NCEN","MHITX48159A052NCEN","MHITX48161A052NCEN","MHITX48163A052NCEN","MHITX48165A052NCEN","MHITX48167A052NCEN","MHITX48169A052NCEN","MHITX48171A052NCEN","MHITX48173A052NCEN","MHITX48175A052NCEN","MHITX48177A052NCEN","MHITX48179A052NCEN","MHITX48181A052NCEN","MHITX48183A052NCEN","MHITX48185A052NCEN","MHITX48187A052NCEN","MHITX48189A052NCEN","MHITX48191A052NCEN","MHITX48193A052NCEN","MHITX48195A052NCEN","MHITX48197A052NCEN","MHITX48199A052NCEN","MHITX48201A052NCEN","MHITX48203A052NCEN","MHITX48205A052NCEN","MHITX48207A052NCEN","MHITX48209A052NCEN","MHITX48211A052NCEN","MHITX48213A052NCEN","MHITX48215A052NCEN","MHITX48217A052NCEN","MHITX48219A052NCEN","MHITX48221A052NCEN","MHITX48223A052NCEN","MHITX48225A052NCEN","MHITX48227A052NCEN","MHITX48229A052NCEN","MHITX48231A052NCEN","MHITX48233A052NCEN","MHITX48235A052NCEN","MHITX48237A052NCEN","MHITX48239A052NCEN","MHITX48241A052NCEN","MHITX48243A052NCEN","MHITX48245A052NCEN","MHITX48247A052NCEN","MHITX48249A052NCEN","MHITX48251A052NCEN","MHITX48253A052NCEN","MHITX48255A052NCEN","MHITX48257A052NCEN","MHITX48259A052NCEN","MHITX48261A052NCEN","MHITX48263A052NCEN","MHITX48265A052NCEN","MHITX48267A052NCEN","MHITX48269A052NCEN","MHITX48271A052NCEN","MHITX48273A052NCEN","MHITX48275A052NCEN","MHITX48281A052NCEN","MHITX48283A052NCEN","MHITX48277A052NCEN","MHITX48279A052NCEN","MHITX48285A052NCEN","MHITX48287A052NCEN","MHITX48289A052NCEN","MHITX48291A052NCEN","MHITX48293A052NCEN","MHITX48295A052NCEN","MHITX48297A052NCEN","MHITX48299A052NCEN","MHITX48301A052NCEN","MHITX48303A052NCEN","MHITX48305A052NCEN","MHITX48319A052NCEN","MHITX48321A052NCEN","MHITX48323A052NCEN","MHITX48307A052NCEN","MHITX48309A052NCEN","MHITX48311A052NCEN","MHITX48313A052NCEN","MHITX48315A052NCEN","MHITX48317A052NCEN","MHITX48325A052NCEN","MHITX48327A052NCEN","MHITX48329A052NCEN","MHITX48331A052NCEN","MHITX48333A052NCEN","MHITX48335A052NCEN","MHITX48337A052NCEN","MHITX48339A052NCEN","MHITX48341A052NCEN","MHITX48343A052NCEN","MHITX48345A052NCEN","MHITX48347A052NCEN","MHITX48349A052NCEN","MHITX48351A052NCEN","MHITX48353A052NCEN","MHITX48355A052NCEN","MHITX48357A052NCEN","MHITX48359A052NCEN","MHITX48361A052NCEN","MHITX48363A052NCEN","MHITX48365A052NCEN","MHITX48367A052NCEN","MHITX48369A052NCEN","MHITX48371A052NCEN","MHITX48373A052NCEN","MHITX48375A052NCEN","MHITX48377A052NCEN","MHITX48379A052NCEN","MHITX48381A052NCEN","MHITX48383A052NCEN","MHITX48385A052NCEN","MHITX48387A052NCEN","MHITX48389A052NCEN","MHITX48391A052NCEN","MHITX48393A052NCEN","MHITX48395A052NCEN","MHITX48397A052NCEN","MHITX48399A052NCEN","MHITX48401A052NCEN","MHITX48403A052NCEN","MHITX48405A052NCEN","MHITX48407A052NCEN","MHITX48409A052NCEN","MHITX48411A052NCEN","MHITX48413A052NCEN","MHITX48415A052NCEN","MHITX48417A052NCEN","MHITX48419A052NCEN","MHITX48421A052NCEN","MHITX48423A052NCEN","MHITX48425A052NCEN","MHITX48427A052NCEN","MHITX48429A052NCEN","MHITX48431A052NCEN","MHITX48433A052NCEN","MHITX48435A052NCEN","MHITX48437A052NCEN","MHITX48439A052NCEN","MHITX48441A052NCEN","MHITX48443A052NCEN","MHITX48445A052NCEN","MHITX48447A052NCEN","MHITX48449A052NCEN","MHITX48451A052NCEN","MHITX48453A052NCEN","MHITX48455A052NCEN","MHITX48457A052NCEN","MHITX48459A052NCEN","MHITX48461A052NCEN","MHITX48463A052NCEN","MHITX48465A052NCEN","MHITX48467A052NCEN","MHITX48469A052NCEN","MHITX48471A052NCEN","MHITX48473A052NCEN","MHITX48475A052NCEN","MHITX48477A052NCEN","MHITX48479A052NCEN","MHITX48481A052NCEN","MHITX48483A052NCEN","MHITX48485A052NCEN","MHITX48487A052NCEN","MHITX48489A052NCEN","MHITX48491A052NCEN","MHITX48493A052NCEN","MHITX48495A052NCEN","MHITX48497A052NCEN","MHITX48499A052NCEN","MHITX48501A052NCEN","MHITX48503A052NCEN","MHITX48505A052NCEN","MHITX48507A052NCEN"
1989-01-01,22991,28105,24088,19086,25814,20869,20569,23778,20613,22309,22595,16760,20477,22251,22921,20433,25135,20080,24684,33662,23792,18053,17161,14212,20373,20266,20935,20187,23316,21540,16634,21618,27127,20154,24833,28587,19417,17705,23658,20053,20683,16960,47992,17637,20760,27376,17779,18148,23635,23710,16278,28201,24572,19967,15822,21226,30570,20659,24406,18295,37358,18754,14122,14249,17887,15335,17022,24217,16533,28293,19576,21950,15564,19954,20068,19373,21572,17640,43683,21966,21589,15026,23837,28051,19594,21131,28675,20116,17554,26621,25485,26459,19727,25506,21586,16090,16863,36659,19512,26343,29643,22981,43527,18429,24716,33260,21242,16428,19550,24559,31425,22205,17667,22456,16564,24333,28442,24325,20768,21845,21612,19728,25718,16677,19014,29495,18785,17649,25152,28436,18029,18980,22617,18526,24522,15548,21461,18571,21250,12325,21495,19953,20257,22640,18747,24047,18025,25463,21067,19375,28482,24428,20565,17297,26282,13102,15442,22571,27022,19731,17029,22240,21177,14465,30068,19938,17913,18732,19015,31540,28786,19265,17707,21112,20022,18675,20119,24163,27227,30935,26216,20735,23611,30330,26478,21425,18510,20609,12399,20685,33506,28765,13534,15021,18581,22421,28766,16881,40956,18765,22790,17143,15474,19667,22224,16169,22794,24869,21862,17409,28264,25588,29438,10314,20249,24565,19184,26348,20873,32247,23914,23222,22653,18607,22981,24043,27472,17087,18945,22689,25991,17389,18235,21206,27024,24755,23566,25252,24105,15992,24590,22629,24366,20601,14634,32009,23618,25475,26704,20547,28645,22850,14971,11196
1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-01-01,25618,30561,25961,23388,29048,27678,23781,29051,24615,27766,27615,20288,23293,26504,26519,24533,36435,23423,28179,38369,27583,21338,21681,15431,23186,23456,25601,23750,27090,24320,19397,22226,32051,22653,25504,35621,22121,21400,27289,23164,23658,18557,55643,20517,23834,32219,20343,20267,27592,28696,18147,34392,24299,21203,19268,24556,33666,23329,26100,22096,44015,22039,17354,15371,19893,16207,18848,27118,19011,33279,23989,24861,19687,23676,24780,22477,24152,20875,48711,25895,24933,16968,27468,33900,22896,26379,33860,24050,20169,28934,28175,28650,23493,30321,24832,17283,21005,32288,21165,29719,34500,25548,37577,21492,30639,35621,23519,18103,22440,28580,33539,24280,21429,25553,19406,27735,31405,29073,24120,25442,23653,24306,28542,18582,20683,32616,21667,19362,29933,34585,19560,22461,25461,20480,32711,17671,24793,20541,25498,17620,25138,23521,23746,26699,22837,27016,21810,29074,24843,21627,25894,27550,23605,19279,28138,14223,19338,26512,29832,21728,17666,26472,25710,16533,34525,22804,20756,21245,21975,37496,31538,22072,21160,23786,23729,20030,22987,28707,31672,33135,30524,23697,25781,33679,27125,24078,21805,22948,13920,24142,38442,33384,18426,18644,20951,24028,34726,19701,46888,21545,25132,19924,17363,22553,26150,18282,25929,28084,23568,20707,31714,28983,31040,12225,21922,29620,22553,26370,24610,37866,27648,22969,26425,22981,23841,27563,34414,19859,22699,24827,28708,19671,20929,24191,29840,27830,26132,26438,27914,20549,27035,23409,27994,24279,16856,40478,28290,26634,29771,23339,32063,24750,17640,13284
1994-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-01,28007,32098,29012,26445,31499,28263,25420,31676,25064,31921,31457,21453,25341,29497,29815,28727,34986,26470,30591,40731,28969,23248,20421,17212,25308,26066,28845,26604,28915,26291,21928,24802,35046,25582,26912,40919,24664,23579,28814,25567,24644,19699,60998,19849,26852,37595,22330,19882,29859,30393,17781,35168,25644,21566,18267,29481,37777,24258,27320,24598,48091,24468,18786,16779,22533,17912,20814,28235,18890,37869,25384,25930,22837,25821,27269,22804,23714,20459,55291,27266,27361,18949,26815,37423,25232,29494,28511,26680,21879,29888,30466,31641,26761,32574,26767,17985,22980,30768,23040,33830,35901,27867,38495,20674,35119,37093,26316,19957,25308,29369,37795,25074,22720,27351,17275,29234,34005,31687,26042,28986,27158,25035,30209,20130,23331,36105,23159,21225,33943,38991,20405,26505,28644,21551,30163,19768,26304,21509,26945,19133,27263,25187,25649,29902,26318,30011,24001,29555,26950,24810,27552,30202,23154,19481,29970,17150,21346,30273,30048,23102,20272,25747,29125,18945,37355,24234,21811,22505,24290,44744,32933,25208,19263,25408,26122,24147,24495,27637,32908,32717,33974,24785,27384,37578,26035,25882,26675,26682,16877,26372,40482,34078,21866,20002,21012,27103,34357,22055,54760,23691,26961,23655,20321,26758,28223,19918,27545,29614,25684,22805,29714,32061,34991,16727,25075,33482,24230,28336,25329,41003,29025,22815,27488,21821,27132,29570,38368,22513,26230,27556,29291,21598,22133,26986,34464,28652,27316,26493,30271,24288,29075,26072,30051,25551,19063,49542,31383,28540,33349,25980,31756,26029,20696,15162
1996-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-01-01,29760,34638,30276,27664,36394,31091,26832,33945,27005,33306,34006,23287,26840,31431,32374,29285,36730,28633,32433,43688,32045,24952,23777,17701,26963,27802,31146,28004,30625,28427,21699,27269,38076,27929,28315,43345,26928,24904,32368,26258,25700,21718,65814,23092,28966,39600,23687,23050,32975,33259,21187,38169,28647,23177,20416,30099,40960,25738,28490,26362,52242,25625,21408,16958,24046,19837,22645,31039,19254,39855,25866,27882,24285,28595,29487,26288,26587,23185,55164,29822,28845,20094,29484,39119,26361,31497,35799,28037,23826,32709,33145,33594,27891,34874,28369,20045,25321,36272,25513,35279,39037,29805,43504,23824,37341,42393,28383,20034,27481,31256,38973,28126,25157,29347,19987,31542,36739,31533,28349,30345,28930,25895,32362,21817,24586,37768,25380,23226,35477,39212,23134,28148,30766,23530,32386,21850,27915,23780,28058,20054,29578,26129,27956,30438,27657,31683,25239,34795,29403,26798,32152,31961,26361,22164,31446,16626,23532,31877,34300,25564,21444,29194,29605,19458,38529,26537,24013,24925,26117,46292,35372,27513,22391,27741,28217,25358,26369,29198,36685,35241,35712,27083,30124,40492,29764,27309,27404,27848,17753,28152,44405,36158,22319,22035,22930,28459,34334,23600,57397,24707,29418,25064,21658,28337,28765,21722,29721,32307,28198,24560,35140,34336,38415,14178,26079,32781,26494,31567,28250,42927,31606,24682,29117,25922,28873,31084,40250,24087,27208,29591,31754,22617,23774,28901,36466,30971,29832,29524,32973,23386,30531,28839,32301,27028,18616,50102,33182,31590,36125,27395,35414,28514,20905,15439
1998-01-01,30638,34897,31314,29928,38687,31801,28053,35350,27522,36135,36048,24218,27982,33034,34210,29691,34150,30430,32561,45926,33917,27549,25010,18768,28324,28452,34638,29961,33160,29638,22959,29170,39775,28483,29737,44177,28329,26067,33873,26598,26975,22257,71423,23361,30077,41720,24807,22852,34499,35134,22026,37537,29957,22951,21246,30802,42736,26097,29444,28040,56386,27347,22258,18213,23808,20861,24372,32109,18618,41578,26318,29767,25143,30229,30724,26461,27834,23927,57196,30825,30324,21729,29423,41666,25688,32861,35678,31146,25802,34288,34634,34513,29508,36172,29783,20718,26579,37866,26961,37553,40690,30726,47541,23189,39273,43228,29828,20856,28679,31100,40162,30384,26418,29877,20414,33193,38894,32912,29462,31817,30157,26550,33766,23332,25515,39687,25616,24301,37408,42508,23693,28800,31941,24225,33051,23815,28516,25133,29688,20996,30546,27573,29019,32372,28715,33429,25830,34249,30714,28610,38988,32894,25663,22701,32788,17857,23947,33258,35078,27759,22539,28909,31149,19696,39427,28011,24486,25716,27653,47857,35932,28408,22474,29412,29584,27239,26950,30387,38394,36973,36985,28018,32016,42528,31194,27209,29789,29171,18390,29271,46950,34710,22855,22670,23676,30265,38570,24541,59923,25507,30633,26700,23302,29689,30019,23452,28556,32509,28734,26414,37572,35630,38712,16363,27833,33958,26845,32745,29701,44669,32434,24061,28322,27846,29907,32423,43489,25508,28173,30276,32640,23603,25002,30777,36678,32566,31098,30511,34808,24194,31428,29044,33755,28872,19423,53894,35530,31812,38685,28493,34095,29414,21924,16096
