"Date","PCPI48001","PCPI48003","PCPI48005","PCPI48007","PCPI48009","PCPI48011","PCPI48013","PCPI48015","PCPI48017","PCPI48019","PCPI48021","PCPI48023","PCPI48025","PCPI48027","PCPI48029","PCPI48031","PCPI48033","PCPI48035","PCPI48037","PCPI48039","PCPI48041","PCPI48043","PCPI48045","PCPI48047","PCPI48049","PCPI48051","PCPI48053","PCPI48055","PCPI48057","PCPI48059","PCPI48061","PCPI48063","PCPI48065","PCPI48067","PCPI48069","PCPI48071","PCPI48073","PCPI48075","PCPI48077","PCPI48079","PCPI48081","PCPI48083","PCPI48085","PCPI48087","PCPI48089","PCPI48091","PCPI48093","PCPI48095","PCPI48097","PCPI48099","PCPI48101","PCPI48103","PCPI48105","PCPI48107","PCPI48109","PCPI48111","PCPI48113","PCPI48115","PCPI48117","PCPI48119","PCPI48121","PCPI48123","PCPI48125","PCPI48127","PCPI48129","PCPI48131","PCPI48133","PCPI48135","PCPI48137","PCPI48141","PCPI48139","PCPI48143","PCPI48145","PCPI48147","PCPI48149","PCPI48151","PCPI48153","PCPI48155","PCPI48157","PCPI48159","PCPI48161","PCPI48163","PCPI48165","PCPI48167","PCPI48169","PCPI48171","PCPI48173","PCPI48175","PCPI48177","PCPI48179","PCPI48181","PCPI48183","PCPI48185","PCPI48187","PCPI48189","PCPI48191","PCPI48193","PCPI48195","PCPI48197","PCPI48199","PCPI48201","PCPI48203","PCPI48205","PCPI48207","PCPI48209","PCPI48211","PCPI48213","PCPI48215","PCPI48217","PCPI48219","PCPI48221","PCPI48223","PCPI48225","PCPI48227","PCPI48229","PCPI48231","PCPI48233","PCPI48235","PCPI48237","PCPI48239","PCPI48241","PCPI48243","PCPI48245","PCPI48247","PCPI48249","PCPI48251","PCPI48253","PCPI48255","PCPI48257","PCPI48259","PCPI48261","PCPI48263","PCPI48265","PCPI48267","PCPI48269","PCPI48271","PCPI48273","PCPI48275","PCPI48283","PCPI48277","PCPI48279","PCPI48281","PCPI48285","PCPI48287","PCPI48289","PCPI48291","PCPI48293","PCPI48295","PCPI48297","PCPI48299","PCPI48301","PCPI48303","PCPI48305","PCPI48313","PCPI48315","PCPI48317","PCPI48319","PCPI48321","PCPI48323","PCPI48307","PCPI48309","PCPI48311","PCPI48325","PCPI48327","PCPI48329","PCPI48331","PCPI48333","PCPI48335","PCPI48337","PCPI48339","PCPI48341","PCPI48343","PCPI48345","PCPI48347","PCPI48349","PCPI48351","PCPI48353","PCPI48355","PCPI48357","PCPI48359","PCPI48361","PCPI48363","PCPI48365","PCPI48367","PCPI48369","PCPI48371","PCPI48373","PCPI48375","PCPI48377","PCPI48379","PCPI48381","PCPI48383","PCPI48385","PCPI48387","PCPI48389","PCPI48391","PCPI48393","PCPI48395","PCPI48397","PCPI48399","PCPI48401","PCPI48403","PCPI48405","PCPI48407","PCPI48409","PCPI48411","PCPI48413","PCPI48415","PCPI48417","PCPI48419","PCPI48421","PCPI48423","PCPI48425","PCPI48427","PCPI48429","PCPI48431","PCPI48433","PCPI48435","PCPI48437","PCPI48439","PCPI48441","PCPI48443","PCPI48445","PCPI48447","PCPI48449","PCPI48451","PCPI48453","PCPI48455","PCPI48457","PCPI48459","PCPI48461","PCPI48463","PCPI48465","PCPI48467","PCPI48469","PCPI48471","PCPI48473","PCPI48475","PCPI48477","PCPI48479","PCPI48481","PCPI48483","PCPI48485","PCPI48487","PCPI48489","PCPI48491","PCPI48493","PCPI48495","PCPI48497","PCPI48499","PCPI48501","PCPI48503","PCPI48505","PCPI48507"
1969-01-01,"2620","3994","3055","3417","3664","4284","2832","2840","3150","3593","2629","3095","3035","4110","3557","2842","3127","2817","3517","3330","2927","2658","3851","1700","2873","2246","3072","2088","2985","2901","2017","2712","4230","2996","3990","3067","2756","3188","3654","2568","2926","2713","3704","2992","2742","3780","2898","2395","3054","3449","2297","3418","3710","2764","3436","4415","4432","3297","5112","2398","3372","2334","2265","1393","2878","1731","2680","3572","2129","3111","3116","2570","2375","2570","2629","2380","3192","3200","2775","2484","2798","2058","3170","3447","2950","2914","2955","1905","2338","3737","3177","3441","2188","3091","2793","3068","2627","4122","3177","2952","4041","3002","5783","2692","2383","4514","2575","1799","2631","2849","3916","2778","2205","3337","2424","3166","3854","4175","3094","2623","2711","2586","3469","2139","2320","3337","3074","2245","2788","4609","6650","2048","3598","2983","4170","1864","2724","2390","2089","2776","2847","3283","2509","2758","2595","2767","2238","3362","2580","3300","1146","3150","3091","2206","2212","2997","2897","2564","1402","2621","3115","3237","2862","3105","4493","2799","2501","2549","3161","3139","4311","3322","3494","2571","2882","2172","3655","3371","3775","3322","3075","3751","2254","3790","6117","3069","2672","2867","2318","2357","3865","3874","1599","2278","2988","2486","3273","2348","4076","3240","2689","2319","2069","2146","2749","1955","3721","3155","3224","2373","7100","3317","2463","1491","3483","3981","2904","3213","3895","4050","3200","3961","2893","3324","2990","3343","3623","2444","2903","2498","2739","2439","3024","2948","3018","2055","2632","3204","2757","2153","2577","3370","4118","2757","1697","2941","2547","3516","3155","2825","3725","3279","1664","1618"
1970-01-01,"2906","3870","3267","3774","4233","3758","3027","3244","3547","3980","2765","3204","3451","4623","3880","3149","4343","2994","3486","3777","3010","2780","3534","2109","3068","2528","3281","2328","3355","3021","2210","2936","4418","3070","5183","3530","2971","3458","4185","3679","2641","2831","3894","2476","3195","4245","2982","2722","3342","3766","2645","3797","3853","3744","3245","3739","4656","3690","5715","2830","3601","2561","2528","1432","2775","1915","2903","3685","2410","3308","3516","2821","2606","2831","2984","3016","4008","3350","3252","2641","3101","2221","3276","3912","3257","3142","3635","2449","2764","3969","3467","3664","2408","3500","3849","2927","2850","5952","3252","3101","4379","2971","4983","3460","2747","4004","2868","1977","3360","3367","4149","2907","2684","3906","2459","2995","3828","3974","3074","3008","2993","2925","3809","2176","2526","3483","3596","2356","3151","4571","3908","2588","3933","3240","1807","2298","3026","2784","2523","2931","3785","3357","2792","3240","2479","3119","2654","3567","2869","3816","3060","3653","3469","2301","2373","3647","2713","3038","1628","2971","3451","3765","3046","3259","4739","3062","2692","2871","3163","3565","4785","3418","2521","2756","3137","2289","3890","3741","4380","3631","3268","3526","2697","3805","6746","3325","2714","3621","2513","2171","4238","3472","1697","2538","2900","2902","2827","2567","4284","3540","2864","2558","2346","2319","2996","2493","4208","3465","3396","2687","6374","3593","2682","1373","3455","4539","3368","2669","4874","4113","3675","4035","3456","3620","3181","3780","3932","2470","2868","2610","3053","2909","3378","3217","3348","2295","2820","3166","3129","2470","2921","3446","4263","2876","1772","3193","2963","3490","3410","2959","3828","3317","1678","1552"
1971-01-01,"3026","4338","3482","4165","4479","5421","3255","3685","2740","4070","3102","3419","3559","4866","4215","3127","5233","3181","3709","3871","3360","3051","3731","2078","3207","2797","3527","2561","3450","3246","2458","3110","4953","3414","4672","3720","3181","3683","4373","3497","2817","2843","4298","2738","3621","4431","2997","2085","3507","4030","3011","3909","3940","2981","3217","4816","4913","3323","5105","3057","3958","2892","2597","1488","3002","2096","3140","3912","2631","3534","3698","3052","2925","3001","3041","2722","3826","3130","3662","2802","3526","2516","3040","4169","3534","3306","3723","2850","2713","4234","3470","3979","2772","3649","3895","3366","2865","7763","3095","3375","4662","3075","5239","3511","3058","4054","3104","2202","3592","3183","4360","3139","2801","4050","2351","3198","4020","3529","3608","3191","3260","3579","4052","2546","2703","3628","3510","2414","3430","4762","5751","2594","4163","3056","7220","2137","3238","3088","2724","3163","3455","3396","3025","3318","3169","3260","2741","3684","2701","4211","5773","3711","2802","2823","2629","3668","2830","3191","1864","2878","3674","5565","3095","3046","5068","3297","2863","3162","3351","3869","3818","3646","2955","2900","3443","2563","4033","3950","4507","2286","3497","3718","2938","3968","4888","3253","3098","3824","2600","2346","4613","3495","1982","2761","2471","3124","4593","2816","4805","3432","3107","2744","2512","2618","3279","2224","4230","3814","3291","2727","7183","3853","2786","1563","3774","4295","3329","2853","4339","4231","3894","4463","3230","4068","3307","3972","4254","2863","3077","2654","3411","3203","3439","3323","3621","2501","3083","3284","3415","2537","3065","4240","4771","3131","2141","3484","2823","3897","3657","3086","3778","3492","2008","1612"
1972-01-01,"3124","3872","3856","4239","4277","6068","3524","4222","3487","4854","3413","4013","3888","5350","4539","3836","7471","3627","4222","4201","3531","3041","5372","2163","3487","3480","3651","2897","3575","3912","2614","3212","5515","3733","6255","3995","3543","4356","4771","3113","3436","3470","4854","3483","4330","4734","3382","3237","3923","4424","4140","4190","4368","3539","3900","5259","5412","3492","5340","3582","4325","3164","2570","1792","3661","2172","3405","4275","3313","3732","4064","3048","2938","3399","3356","3955","3827","4163","4137","2966","3564","2985","3848","4400","3555","3512","5035","3053","3029","4526","4001","4262","2953","3948","3978","3935","3269","9553","3261","3621","5051","3315","6781","3901","3199","5189","3407","2326","3956","3362","5165","3315","3204","4376","3373","3562","4100","4314","3435","3414","3597","3817","4353","2768","2868","3924","4119","3013","3722","4802","10052","2838","4672","3701","3873","2931","3436","3306","2333","3511","3466","3529","3360","3930","3292","3520","3030","4588","3245","4814","11656","4027","2952","3547","2999","3646","3503","3224","1992","3557","4006","3643","3478","3414","5484","3746","2976","4271","3794","4118","4057","3854","3487","3147","3773","2950","4492","4196","5130","4370","3732","3865","3090","4131","3699","3657","3409","3971","3212","2337","4804","4428","2659","2924","3204","3444","7423","3070","5515","3899","3399","2936","2800","2785","3396","2946","5298","3820","3726","3099","5938","4208","3269","1791","3970","4407","4550","5480","4619","4671","4233","3479","3560","4327","3602","4400","4556","3049","3397","2939","3740","3273","3820","3498","4151","2603","3381","3825","3915","2712","3416","4581","5059","3324","2365","4021","3164","3950","3894","3452","4371","3723","2384","1685"
1973-01-01,"3626","4764","4189","4740","5182","8784","3659","4406","5486","5020","3746","4982","4260","5551","4905","4180","8841","4513","4742","4744","3696","3538","8453","2542","4105","3613","4114","3217","3969","4326","2888","3940","7832","3690","6542","5265","4001","4649","6573","3144","4153","4181","5277","4024","4867","5159","4030","4101","4519","4600","3539","4976","4745","6417","3938","6964","5941","4610","6381","4273","4648","3819","3266","1959","4139","2418","3874","4820","4571","4054","4517","3581","3871","3874","3908","4436","7661","4867","4568","3877","4061","3127","5381","4843","3547","4592","7766","3688","3604","5174","4530","4644","3313","4313","5553","3277","4112","9743","3997","3867","5552","3758","6225","5109","3393","6265","3715","2614","4645","4740","5743","3850","3831","5109","3116","3893","4879","5897","4537","4984","3884","4130","4850","3388","3201","4326","4911","3438","4207","5450","12088","3030","5034","4143","9891","3338","3624","5117","2957","3901","3871","3553","3633","4233","3785","4029","3522","5489","4050","4969","9839","4656","6588","3272","3129","6519","4171","4191","2092","3990","4422","8774","3994","4156","6100","4523","3905","4872","4132","4421","4793","4379","5126","3603","4165","3263","5125","4633","6765","6219","4077","4341","3799","4612","7935","3638","3702","4468","3619","2886","5498","5282","2970","3529","2996","4581","6338","3408","5920","4536","3830","3410","3166","3058","4069","3212","5904","4574","4609","3584","9493","4715","3828","2079","4777","7332","5250","4732","6701","5161","4504","4395","5399","5978","4036","4766","4886","3385","3698","3465","4087","3703","4115","4013","4469","2794","3980","4164","4165","2834","4293","5144","5599","3918","2497","4715","3805","4085","4105","4014","6148","4608","2939","2386"
1974-01-01,"4141","5529","4741","5473","6500","7952","4106","5196","4752","5758","4202","4560","4575","6017","5323","4976","4521","4508","5219","5632","3897","3531","4555","2922","4344","3517","4608","3458","4767","4561","3297","4570","6431","4176","5081","5822","4326","5055","6537","3810","4077","4133","5676","4251","5426","5740","4518","4323","4854","4852","4985","5531","4760","3672","4049","5111","6540","4389","4527","3684","5129","3818","3662","2399","4917","2887","4143","5594","5962","4403","4691","4033","3776","4092","4376","3578","4958","6047","5632","4487","4386","3138","4499","5513","3816","5029","4190","4254","4296","5750","4889","5356","3952","4674","4890","3715","3968","5524","5433","4435","6354","4318","4710","3705","3698","4420","4285","2979","4479","4165","6263","4651","4376","5374","3574","4222","5521","4307","4663","5230","4398","4204","5687","3309","3719","4678","4640","3609","4650","5905","4580","3134","5630","4972","6854","2839","4229","4266","2989","4331","4303","4040","3905","4690","4455","4795","3580","5712","3588","5145","9097","5069","3439","3401","3430","3483","4944","4572","2347","4392","4760","5416","4284","3938","6915","4438","4540","3984","4567","5395","5044","4997","5512","3958","4490","3695","5105","5303","5442","3482","4767","4559","4339","4848","5396","3902","4264","5216","3693","3500","5670","4988","3617","3966","3601","5042","5025","3607","6563","4096","4323","3851","3622","3647","4559","4209","4670","4529","4890","4005","6213","5226","3988","2048","5205","3931","4254","6188","4809","5747","5193","4371","4173","6206","4450","5197","5392","3811","4288","3894","4859","4018","4304","4392","5139","3312","4676","4827","4831","3118","4881","5137","6147","4430","3173","5031","3999","4735","4756","4547","4992","5732","2357","2499"
1975-01-01,"4698","6160","5298","6061","6731","11052","4713","5904","4845","6328","4604","5753","4659","6779","5742","4987","3845","5074","5531","6190","4538","4313","5520","3193","4633","3996","5123","4080","5186","5026","3546","5033","11091","4692","7623","6692","4701","5381","6387","3316","4534","4535","6267","4291","5722","6341","4823","5138","5501","5493","4796","6592","5816","3571","4753","9834","7034","4061","7507","4256","5911","4228","3896","2944","4582","3293","4633","6529","4828","4470","5318","4335","4540","4446","4981","3978","5011","6620","6643","4719","4658","3545","4269","6495","3899","5841","3130","4509","4769","6940","5117","5890","4041","4999","5386","3451","4668","11910","5564","5018","7181","4839","8934","4247","4326","5751","4631","3286","4796","4430","6899","4699","4053","6145","3962","4747","6743","5473","4857","6558","4942","4504","6272","3969","4442","5330","5273","4042","5216","6567","3796","2651","6101","5010","4164","3446","4725","4861","3211","4632","5387","4171","4374","5310","4463","5445","4240","10352","4450","6097","10539","5526","3012","3394","3743","3248","6913","5379","2869","4916","5353","3656","4788","4787","8158","4938","4502","4930","4877","6028","5433","5557","4191","4586","5003","4280","5835","5883","6638","6703","5291","5102","4832","5553","6147","4675","4362","5954","4581","3682","6983","5306","3903","4068","4633","5295","16207","3891","7327","5197","4906","4630","3890","3990","5042","4198","5919","5322","5229","4392","20188","5681","5523","2192","5548","5487","5717","5376","6215","6384","6020","4896","4565","5754","5307","5800","5999","4097","4829","4335","5148","4565","4671","4722","5858","3792","5009","5593","5421","3352","5364","6408","6639","4810","2746","5702","4352","5393","5081","4901","5499","6135","3147","3223"
1976-01-01,"5024","6892","5829","6951","7575","8337","5016","6679","4609","6820","5215","6182","5092","7269","6166","5251","11051","5486","6038","6985","5021","4655","6356","3877","5091","4714","5777","4677","5595","5487","3812","5586","9653","5336","6000","6728","5528","6734","7127","3037","5124","4624","7026","5163","5902","7034","5043","5118","5984","5775","6416","7046","6135","5862","4267","6702","7570","6184","6245","5093","6680","4682","4422","2834","5059","3686","4886","7732","4223","4824","6030","5110","4876","5299","5721","5540","6002","5020","7691","5688","5170","3518","6007","7111","5684","6281","7315","5180","5483","7118","5624","6603","4760","5691","6209","5626","5091","7593","5358","5850","7862","5304","8354","5512","4961","5948","5226","3585","5268","5023","7704","5397","4728","6821","5331","5364","7289","5966","5388","6592","5563","5009","7063","4411","4853","6031","6020","4560","6113","7153","8040","3185","6759","5532","5438","3549","5253","5012","3387","5200","5905","4682","4945","5745","5540","5934","4644","7348","4883","6582","14297","6166","6093","4206","4163","7072","7107","5938","2879","5115","5898","4344","5057","4800","8910","5265","5148","5681","5594","7015","7164","6291","5691","5174","5687","4716","6580","6613","6519","5403","6281","5389","5445","6220","6370","5107","4875","6532","4545","4371","7650","5541","4159","4646","5084","6046","13392","4360","8145","5941","5638","5130","4166","4862","5495","4535","5760","5939","5646","4948","9350","6381","6662","2291","5947","6141","6142","5532","5340","6951","6484","5726","5420","5125","6084","6486","6521","4640","5349","5114","5536","4690","5067","5330","6487","4341","5502","6001","6068","3522","5734","6026","7170","5321","3098","6468","5022","5681","5797","5909","5679","6832","3758","3093"
1977-01-01,"5414","7868","6448","7793","7795","9095","5492","6998","4961","7045","5537","6247","5471","7666","6599","5759","11886","5825","6604","7658","5505","5191","8696","3590","5655","4945","6230","4900","5959","5995","4065","5951","8825","6166","4869","7977","6164","7844","7425","6154","5255","5032","7581","6224","6797","7529","5170","4935","6631","6000","7628","7250","5784","6467","4936","7042","8319","6594","8057","5415","7334","5123","5850","3516","6695","3918","5188","8523","3952","5191","6496","5644","4952","5521","6120","7031","7007","6154","8625","5705","5520","3772","6818","7534","6311","6895","11377","5379","5774","7918","6251","7079","5162","6131","6561","6677","5267","8612","6014","6448","8656","5767","9027","7436","5289","8278","5649","4015","5407","7176","8172","5715","4768","6698","6860","6023","7690","7052","5822","6940","6044","4946","7841","4366","5317","6441","6659","4791","6642","7762","2424","4424","7187","5871","7180","3982","5846","5010","3186","5579","5874","5004","5106","6204","6199","6631","4840","7187","5719","7081","5736","6887","6701","4916","4723","7641","4655","7237","2694","5752","6339","4939","5319","4741","9900","5642","5359","6556","6007","7581","7913","6923","5776","5767","6065","5041","6900","6975","6308","4276","6855","5971","5668","6787","4777","5692","5323","7060","5391","4691","8438","7102","4067","4768","5360","5259","9803","5090","8843","6088","6095","5079","4449","5138","5576","5177","5855","6999","6110","5279","10925","7143","6298","2317","6182","5739","6302","5697","6272","7665","7046","6125","7751","5350","6138","7086","7069","4918","5733","5488","6413","5231","5165","5825","7121","4825","6081","6645","6674","3817","6299","6300","7683","6115","3754","6907","5261","5916","6184","6079","7601","7405","3536","3178"
1978-01-01,"5960","8325","7335","8363","8393","9003","6255","7977","6511","7860","6479","6813","6101","8477","7309","6863","5983","6643","7295","8437","5930","6049","6179","4441","6405","5819","7197","5399","6417","6680","4708","6887","8620","6744","5423","8227","6949","7773","7938","5861","6220","5859","8576","5693","7189","8476","6041","5526","7787","6345","7047","7882","6927","6910","5123","6255","9521","6453","6019","6180","8273","6116","4965","3914","6813","4670","6020","9499","6314","5704","7416","6968","5714","6452","7481","6268","6944","7035","9849","6444","6217","4421","6724","8450","6261","8173","7767","6744","6972","8961","7316","8015","6042","7004","6650","6434","6368","9088","6631","7214","9883","6664","7770","6600","5952","7390","6424","4412","6193","7125","8907","6772","5638","7610","6325","6877","8730","8189","6899","7040","6648","6821","8687","5519","6195","7369","6936","5830","7515","9063","7746","4204","8173","7145","7627","5552","6500","5676","3703","6369","6756","5586","5955","7111","7035","7293","5603","7261","6818","8209","13936","7503","6653","5943","5143","7671","5432","7866","2880","6528","7099","7237","5894","5633","11675","6530","6787","6847","6961","8637","8019","8123","5566","6422","6956","5663","7702","8006","7794","7463","7493","7069","6515","7649","4901","6352","6150","7951","5455","5832","9337","7961","4964","5361","5133","6774","6563","5809","10122","7098","6861","5962","5037","5725","6514","5866","6822","7317","7449","5759","8433","8039","7480","2617","6951","6624","7968","6954","6207","8626","8127","5972","6900","6889","6713","8005","8238","5747","6328","6099","7437","5872","6105","6653","8034","5506","6645","7622","7750","4270","6725","7248","8759","7075","4079","7629","6036","6677","6982","6909","7458","8514","4238","3567"
